screenName,name,bio,followersCount,tweetsCount,friendsCount
i_m_good_u,Guddu Kumar,,4,2,81
SrujanKatukam,Katukam srujan,,8,7,72
MungaraHarsh,Harsh Mungara,,1,9,84
vickyramanujam,vignesh,"Blockchain ||#Web3🔎 | $mazi ambassador 

               Go hard or go home !!!",43,28,1186
lalkaarmusic,Karan Singh,,467,22195,923
DhirajK22831135,Dhiraj Kumbhar,"Full Stack Blockchain Software Developer | Content Writer | Loves to talk about Blockchain, Finance and Cricket",10,8,90
vkpatva,Viraj Patva | vkpatva.eth | vkpatva.lens ðŸŒ¿,Java Learner || Code Enthusiast,415,3815,1531
RupanshiCR7,Rupanshi,An Explorer!!,7,8,39
Mishra__Kiran,Mishra Kiran,Life is short. Do stuff that matters.,10,10,121
iyanulla,Syed Iyanulla,"Looking for blockchain developer role.
Tech :- React.js Node.js, Express.js, Mongodb, C++, Solidity, Web3,
Hardhat
Faimiliar with :- Golang, k8",0,0,13
vinaytiwari1502,Vinay Tiwari,Exploring,9,80,190
AparnaLaxmi13,Aparna Laxmi,2nd-year Computer Science Engineering student | Coding enthusiast 🚀 | Embracing the digital world one line of code at a time ⌨️ | Building a future in tech 💡,11,8,191
zainabk88934694,zainab khan,"Recent bachelor's degree graduate skilled in Kotlin, MVVM, project creation, and PHP.

विद्ययाऽमृतमश्नुते - Immortality is gained from learning.",1,28,67
Sai_Dubey_,Sai Dubey,,55,1420,1088
mainak_cse,Tech_cse,,4,35,70
ATatavdekar,Amey Tatavdekar,,5,0,85
tanmayeegadhave,Tanmayee Gadhave,"Computer 🖥️ Science Student, https://t.co/pHj3rGeHuR ,Shaheed Bhagat Singh State University 🏢 Ferozepur, Punjab in Computer Science Major.",1,0,5
anmol_fzr,Anmol,,2,6,62
Ankit_309,Sad Ankit,Technology and aviation,6,242,411
Kamalfawaz8,Kamal fawaz,,11,91,164
Vipulpatil097,Vipul Patil,,6,1,82
girishrajani162,Girish Rajani,"“Allah is your Guardian, and He is the best Helper.”
 - Al Quran.",21,4,248
imazhar1508,Md Azhar,GSoC'23 @SCoReLab_Org | Front-end Dev | Robotics Enthusiast | Gamer | Navodayan | Your new friend😇,5,23,187
__pushpendra__,Pushpendra,A cse student exploring the tech world .,351,726,358
